time,y_lineal,ydot_lineal,i_lineal,y,ydot,i
0,0,0,0.5,0,0,0.5
0.04,0,0,0.5,0,0,0.5
0.08,0,0,0.5,0,0,0.5
0.12,0,0,0.5,0,0,0.5
0.16,0,0,0.5,0,0,0.5
0.2,0,0,0.5,0,0,0.5
0.24,0,0,0.5,0,0,0.5
0.28,0,0,0.5,0,0,0.5
0.32,0,0,0.5,0,0,0.5
0.36,0,0,0.5,0,0,0.5
0.4,0,0,0.5,0,0,0.5
0.44,0,0,0.5,0,0,0.5
0.48,0,0,0.5,0,0,0.5
0.5,0,0,0.5,0,0,0.5
0.5,0,0,0.5,0,0,0.5
0.5,1.0500269e-33,1.0092519e-29,0.5,1.0495696e-33,1.0092532e-29,0.5
0.54,4.115329e-06,0.00030535695,0.50073928,4.1152813e-06,0.00030535117,0.50073925
0.58,3.2011781e-05,0.0011812322,0.50136925,3.2010457e-05,0.001181154,0.50136906
0.62,0.00010591387,0.0026062564,0.50190608,0.00010590514,0.0026059247,0.50190551
0.66,0.00024818829,0.0046086305,0.50236354,0.00024815667,0.0046077667,0.50236236
0.7,0.00048331767,0.0072662773,0.50275336,0.00048323603,0.0072646025,0.50275138
0.74,0.00083995332,0.010710657,0.50308554,0.00083978665,0.010708104,0.50308258
0.78,0.0013531971,0.015134465,0.5033686,0.0013529183,0.015131587,0.50336454
0.82,0.0020672767,0.020803714,0.50360981,0.0020669051,0.020802448,0.50360455
0.86,0.0030388046,0.028074987,0.50381536,0.0030384862,0.02808004,0.50380884
0.9,0.0043408487,0.037419021,0.50399052,0.0043410127,0.037440386,0.50398271
0.94,0.0060681,0.049452226,0.50413978,0.0060697508,0.049509658,0.50413068
0.98,0.008343492,0.064978252,0.50426697,0.0083487443,0.065109227,0.50425661
1.02,0.011326732,0.085042458,0.50437535,0.011339774,0.085316225,0.50436378
1.06,0.015225329,0.11100298,0.50446771,0.015254142,0.11154537,0.50445497
1.1,0.020308871,0.14462324,0.50454641,0.020368287,0.14566052,0.50453257
1.14,0.02692754,0.18819226,0.50461348,0.027044669,0.19012894,0.50459859
1.18,0.035536126,0.24468089,0.50467063,0.035759997,0.24823895,0.50465478
1.22,0.04672518,0.31794483,0.50471933,0.047143974,0.32441535,0.50470258
1.26,0.061261451,0.41298802,0.50476083,0.062033563,0.42469331,0.50474326
1.3,0.080140357,0.53630476,0.50479619,0.081551136,0.55746445,0.50477787
1.34,0.1046541,0.69632365,0.50482632,0.10722142,0.7347241,0.50480731
1.38,0.13648004,0.90398391,0.504852,0.14115589,0.97431944,0.50483237
1.42,0.17779548,1.1734833,0.50487389,0.18636524,1.3044073,0.50485368
1.46,0.23142652,1.5232491,0.50489253,0.24734287,1.773455,0.50487182
1.5,0.3010414,1.977198,0.50490842,0.33131625,2.4768696,0.50488725
1.54,0.39140132,2.5663719,0.50492196,0.45155752,3.6497607,0.50490038
1.58,0.5086861,3.3310603,0.5049335,0.64030911,6.220949,0.50491155
1.5912809,0.54767984,3.5852902,0.50493643,0.71869666,7.8183778,0.50491439
1.6025618,0.5896496,3.8589204,0.50493924,0.82264071,11.138925,0.5049171
1.607056,0.60724878,3.9736611,0.50494032,0.87892453,14.318037,0.50491815
1.6091172,0.61549489,4.0274228,0.50494081,0.9111665,17.271668,0.50491862
1.6110632,0.62338219,4.0788452,0.50494127,0.95,23.923219,0.50491906
1.6110632,0.62338219,4.0788452,0.50494127,0.95,0,0.50491906
1.6131245,0.63184659,4.1340298,0.50494175,0.95,0,0.50491953
1.6151858,0.6404255,4.1899611,0.50494223,0.95,0,0.50491999
1.6193084,0.6579331,4.3041037,0.50494318,0.95,0,0.5049209
1.6275535,0.69439211,4.5418012,0.50494502,0.95,0,0.50492268
1.6440437,0.77346174,5.0572983,0.50494853,0.95,0,0.50492607
1.6770242,0.95954275,6.2704459,0.50495489,0.95,0,0.5049322
1.7170242,1.2461025,8.138637,0.50496156,0.95,0,0.50493863
1.7570242,1.6180381,10.563404,0.50496724,0.95,0,0.50494409
1.7970242,2.1007851,13.710566,0.50497209,0.95,0,0.50494874
1.8370242,2.7273569,17.795346,0.50497621,0.95,0,0.50495269
1.8770242,3.5406025,23.097086,0.50497973,0.95,0,0.50495606
1.9170242,4.5961369,29.978351,0.50498273,0.95,0,0.50495892
1.9570242,5.9661441,38.909725,0.50498528,0.95,0,0.50496136
1.9970242,7.7443139,50.501991,0.50498746,0.95,0,0.50496343
2,7.8960638,51.49128,0.50498761,0.95,0,0.50496357
